Fecha,Índice general,"1. Alimentos, bebidas y tabaco","1. Alimentos, bebidas y tabaco, 1.1. Alimentos",1.1.6. Frutas y hortalizas,046 Aguacate,047 Durazno,048 Guayaba,049 Limón,050 Manzana,051 Melón,052 Naranja,055 Papaya,056 Pera,057 Piña,058 Plátanos,059 Sandía,060 Uva,061 Calabacita,062 Cebolla,063 Chayote,064 Chile poblano,066 Chile serrano,068 Ejotes,071 Jitomate,072 Lechuga y col,073 Nopales,077 Papa y otros tubérculos,079 Pepino,080 Tomate verde,082 Zanahoria,065 Chile seco,069 Frijol
Jul-05,60.7575022,49.08921765,49.0861787,59.77301733,53.08878219,44.20019892,45.98149846,39.86378411,31.48932889,68.43734574,32.49545494,44.96519791,41.3459699,40.57763407,50.46701251,58.33215904,50.05648331,50.97668077,76.58337519,78.86311351,69.36342634,77.56281751,38.43455394,83.36885276,37.79621277,43.56239161,52.44496222,45.06336382,71.81534557,63.0773045,51.30515781,45.95984713
Ago 2005,60.73686338,48.84865744,48.77118547,56.47283167,47.27997739,45.25404799,43.18865989,38.78031155,33.78768227,63.38923375,37.58012034,44.16592125,42.0602704,51.69080665,50.5791793,58.36590169,47.59839984,72.03088959,94.28958481,74.95180866,60.56929543,76.32940227,40.8695347,64.9472139,37.70514918,49.69875175,51.22675151,47.19758621,68.83558474,68.77557945,51.30515781,45.83419254
Sep-05,60.86016708,48.85753718,48.78197839,54.86330742,37.86407499,44.99520787,40.30854512,37.52765261,36.43299084,69.58257893,35.35121785,52.52094393,45.89161067,67.23199148,48.61525548,50.27180997,57.70825151,60.80679617,76.08677525,51.57833125,65.78797794,70.21330459,51.994162,62.71902749,39.96674034,47.23280229,54.96797641,49.42859044,60.08386381,80.82540876,52.68120818,45.83419254
Oct-05,61.20996857,49.25349283,49.20050366,52.8572139,30.47713833,60.84891553,39.14130008,39.06430296,40.25264382,65.6729196,28.83381276,60.05355843,41.69872757,64.9026603,54.4020967,58.62992312,58.75992319,53.86968805,53.8818918,53.35671693,61.40488441,71.97835291,42.75975866,59.40470408,37.60283655,48.51058398,56.60663153,46.12613809,42.57499253,78.4488936,54.34037123,45.83419254
Nov-05,61.09777808,48.62222408,48.54053688,50.01923657,23.21837158,69.76340932,38.63723547,30.87311445,40.82341207,64.99893393,23.87605054,59.88089815,33.9090002,60.80232567,52.76783871,71.36155705,59.60936888,67.67312508,43.44903498,59.57020208,53.72509932,69.59759006,59.93054768,51.52898313,37.85942162,55.22598791,51.58946741,56.70320728,36.36028843,64.9106828,53.20293344,45.95121437
Dic 2005,61.54018964,49.6151404,49.7101691,57.31474367,23.30154339,67.58625408,42.5112303,43.66065868,42.16449272,85.12018621,21.83588339,56.80853652,37.48894995,59.30662512,55.58085302,77.6927434,60.26334554,68.52843601,56.35264948,65.59727124,64.5216449,69.92133673,63.99797385,80.28120142,36.7596948,54.70647784,49.00489932,63.26748186,48.09325095,51.77108317,51.66998187,47.58808131
Ene 2006,61.99636042,50.35296602,50.48965743,61.93545942,26.73760562,49.72178841,46.83644904,62.75190594,41.53350169,72.52397716,21.9669087,57.90108781,35.95898181,59.30696085,59.88701227,81.35648462,56.96691708,78.79589246,55.61280605,61.34915959,54.69359192,64.70100438,56.11998757,99.87435708,36.78754955,62.8594645,48.715909,64.73838337,50.52760251,52.69010338,51.50272289,50.12371432
Feb-06,62.12389773,50.33197755,50.45408078,60.36695958,28.61153057,46.44281373,44.65335648,58.48334882,41.86652474,72.29276075,21.92097623,55.28805209,38.69758424,49.9140957,63.41926091,74.96728459,71.93501895,86.53988363,47.39043107,61.23822492,50.36911229,49.07906879,95.72891671,94.61292062,35.75263858,79.94250958,47.81172748,53.34916838,41.30154828,50.16731423,50.98368298,49.40144019
Mar-06,61.9720172,49.53925899,49.56826225,54.35095816,31.35108217,49.98612513,48.33914344,52.68569432,39.9011944,71.10887847,21.95601446,56.39836509,35.8988373,44.59470636,65.02055233,71.37754041,68.67623638,81.33202349,52.63639999,67.93033027,52.34971715,48.85860326,119.7830774,66.64196539,38.22903268,65.57733562,39.36215122,54.61326716,38.13175798,50.42606184,50.99442438,49.03982353
Abr 2006,61.86670631,49.40969552,49.4103659,54.42115548,33.88227771,55.22039209,49.15372135,52.43644654,39.6841227,57.71459987,21.52407259,55.34959846,37.57071945,44.21263964,61.15300942,64.74444615,68.11299597,51.43190288,48.72587506,57.51619521,49.20773904,46.59701096,90.92739197,70.44778938,38.37419877,44.19595576,37.23454256,76.53846469,43.35139865,49.4860621,50.61770805,49.25564249
May-06,62.12125172,49.67326233,49.63941555,55.99831603,35.14393015,50.62822853,48.06603422,42.56661197,40.38162846,50.27770367,26.59607711,54.02407971,38.15391844,39.28203173,54.81297288,65.60399571,65.79005158,45.77999629,39.88128644,81.53984128,52.6584625,46.29047781,53.42084082,77.65671668,37.80906881,41.43797772,54.09544125,52.47311003,44.63323382,54.07242166,50.35339283,51.92172608
Jun-06,62.0953209,49.23573335,49.12695194,53.12843082,37.78687449,49.17662514,47.83389139,42.73919717,44.47767709,45.07363926,29.42151281,40.85646154,41.13377467,36.32185401,55.30103911,57.14347067,57.15418125,47.27902556,38.47345488,87.13975479,61.90105795,45.0133667,41.91159879,60.74320264,40.07548098,45.11340176,57.75737639,45.49294741,42.52958289,60.86221521,48.11419404,54.40124616
Jul-06,62.27207385,49.08518141,48.90269914,51.68619499,43.0205142,50.06357729,45.6876092,46.44505853,49.49144915,56.90635951,32.93505222,32.10985527,40.5644292,39.63354654,50.63184542,58.69444853,63.17897135,46.36262099,39.92706092,59.15791395,50.6294671,46.49041952,48.90538183,50.74734228,38.95325609,47.5047774,57.78728393,51.41398791,35.19839395,62.31796187,49.38666661,56.01509241
Ago 2006,62.79651148,49.6611536,49.49191237,55.41759275,51.12912629,44.72987176,41.72811931,43.20408206,52.6423595,63.03800178,36.88406677,31.109417,41.40104605,49.88622967,49.21227224,62.60859572,52.41803887,52.94508799,54.28960407,60.46682869,42.86312426,51.76437862,43.30953416,65.90036994,36.71202033,50.11611448,55.43467318,51.667812,40.49996942,61.09765222,48.41802228,55.31392058
Sep-06,63.56014771,51.27403717,51.33630167,64.31806583,44.01004553,40.34807825,37.37915194,47.03305671,56.20314437,70.59626965,30.74236572,31.72446761,44.14741996,57.43154373,49.33207762,65.50276777,51.18199886,69.75328895,75.78711205,46.80528131,50.27164963,63.57616676,46.25961578,107.7088993,39.33572319,51.08745417,45.64864709,57.88376323,49.12928175,63.54934405,46.36641442,54.64584099
Oct-06,64.08299774,52.08895508,52.23691049,68.55588711,36.61329886,55.71758499,38.38965603,41.57377496,50.79522763,64.271382,24.81413288,36.53871536,45.90918098,62.66162749,46.0784368,90.9393967,58.33809618,70.56464227,101.3644041,41.66454585,64.00297996,63.70924054,48.55133554,125.7538847,42.47313186,53.83289879,41.84934591,54.23618316,73.22403157,56.38017056,46.77765668,54.88132346
Nov-06,63.9110076,51.25062695,51.29632791,60.61812012,30.21290788,64.17336212,38.82247476,39.49708775,48.08385377,69.62394023,25.77105931,31.42293171,42.96683059,57.04276231,45.28764087,74.56237282,62.83629724,63.69235301,116.7222762,48.31033312,78.82820939,62.66120172,45.09299674,86.35790174,41.27323508,56.7437845,40.85926715,50.78079722,90.29608186,56.50371672,45.7027492,55.15901052
